Dário Berger;PMDB;SC;Ação civil pública nº 0900134-02.2014.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0910260-48.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0031429-87.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0910044-87.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0007597-54.2013.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0059564-46.2010.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0035922-44.2010.8.24.0023 - TJ
Paulo Bauer;PSDB;SC;Apelação cível nº 0026503-25.1995.8.24.0023 - TJ
Paulo Bauer;PSDB;SC;Ação civil pública nº 0004189-11.2010.8.24.0007 - TJ
Eduardo Amorim;PSDB;SE;Ação civil pública nº 200711800050 - TJ
Eduardo Amorim;PSDB;SE;Inquérito nº 4438/2017 - STF
Maria do Carmo Alves;DEM;SE;Inquérito nº 4438/2017 - STJ
José Serra;PSDB;SP;Inquérito nº 4.428/2017 - STF
Marta Suplicy;PMDB;SP;Ação civil pública nº 0024208-50.2004.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0045264-66.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0044385-59.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0044311-05.2009.8.26.0053 - TJ
Marta Suplicy;PMDB;SP;Ação civil pública nº 0125765-75.2007.8.26.0053 - TJ
Kátia Abreu;PMDB;TO;Ação ordinária nº 0016414-94.2009.4.01.4300 - TRF
Kátia Abreu;PMDB;TO;Inquérito nº 4419/2017 - STF
Vicentinho Alves;PR;TO;Inquérito nº 3807/2013 - STF
Vicentinho Alves;PR;TO;Ação civil pública nº 5000567-70.2006.827.2729 - TJ
