NOME,PARTIDO,CARGO,ESTADO,CRIME
Romero Jucá,PMDB,Senador,RR,Inquérito nº 4426/2017 - STJ
Romero Jucá,PMDB,Senador,RR,Inquérito nº 4437/2017 - STJ
Romero Jucá,PMDB,Senador,RR,Inquérito nº 4460/2017 - STJ
Telmário Mota,PTB,Senador,RR,Inquérito nº 4296/2016 - STF
Dalirio Beber,PSDB,Senador,SC,Inquérito nº 4408/2017 - STF
Dário Berger,PMDB,Senador,SC,Ação penal nº 938/2015 - STF
Dário Berger,PMDB,Senador,SC,Inquérito nº 2853/2009 - STF
Dário Berger,PMDB,Senador,SC,Inquérito nº 3927/2014 - STF
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 5006967-09.2010.404.7200 - TRF
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0033588-03.2011.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação penal nº 0900140-09.2014.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0047334-35.2011.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0016664-14.2011.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0001594-88.2010.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0018242-46.2010.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0900134-02.2014.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0910260-48.2013.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0031429-87.2011.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0910044-87.2013.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0007597-54.2013.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0059564-46.2010.8.24.0023 - TJ
Dário Berger,PMDB,Senador,SC,Ação civil pública nº 0035922-44.2010.8.24.0023 - TJ
Paulo Bauer,PSDB,Senador,SC,Apelação cível nº 0026503-25.1995.8.24.0023 - TJ
Paulo Bauer,PSDB,Senador,SC,Ação civil pública nº 0004189-11.2010.8.24.0007 - TJ
Eduardo Amorim,PSDB,Senador,SE,Ação civil pública nº 200711800050 - TJ
