EZEQUIEL FONSECA;PP;MT;Ação penal nº 941/2015 - STF
EZEQUIEL FONSECA;PP;MT;Inquérito nº 4297/2016 - STF
EZEQUIEL FONSECA;PP;MT;Ação civil pública nº 2008-04.2010.811.0038- - TJ
NILSON LEITÃO;PSDB;MT;Ação penal nº 985/2016 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3711/2013 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3936/2014 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3629/2013 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3630/2013 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3631/2013 - STF
NILSON LEITÃO;PSDB;Inquérito nº 3632/2013 - STF
NILSON LEITÃO;PSDB;Ação civil pública nº 0008989-70.2009.4.01.3603 - TRF
NILSON LEITÃO;PSDB;Processos nº 5474-51.2005.811.0015 - TJ
DAGOBERTO NOGUEIRA;PDT;MS;Ação penal nº 0013615-89.2014.4.03.6000 - TRF
DAGOBERTO NOGUEIRA;PDT;MS;Ação civil pública nº 0012917-34.2006.8.12.0001 - TJ
GERALDO RESENDE;PMDB;MS;Inquérito nº 3352/2011 - STF
VANDER LOUBET;PT;MS;Inquérito nº 3990/2015 - STF
VANDER LOUBET;PT;MS;Inquérito nº 2861/2009 - STF
VANDER LOUBET;PT;MS;Ação popular nº 0008338-14.2004.8.12.0001 - TJ
VANDER LOUBET;PT;MS;Ação civil pública nº 0005477-87.2012.8.12.0029 - TJ
VANDER LOUBET;PT;MS;Inquérito nº 4417/2017 - STF
ZECA DO PT;PT;MS;Inquérito nº 4182/2015 - STF
ZECA DO PT;PT;MS;Ação civil pública nº 0351590-52.2008.8.12.0001 - TJ
ZECA DO PT;PT;MS;Ação civil pública nº 0036164-73.2008.8.12.0001 - TJ
ZECA DO PT;PT;MS;Ação civil pública nº 0036526-75.2008.8.12.0001 - TJ
ZECA DO PT;PT;MS;Ação civil pública nº 0062827-93.2007.8.12.0001 - TJ
ZECA DO PT;PT;MS;Ação civil pública nº 0074835-05.2007.8.12.0001 - TJ
ZECA DO PT;PT;MS;Ação civil pública nº 0065938-46.2011.8.12.0001
ZECA DO PT;PT;MS;Inquérito nº 4.447/2017 - STF
AELTON FREITAS;PR;MG;Ação civil pública nº 0006889-51.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0053840-06.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0053873-93.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil de improbidade administrativa nº 0041055-38.2014.8.13.0151 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0050689-32.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0050697-09.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0071560-83.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0071685-51.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0071693-28.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0071719-26.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0071727-03.2012.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002217-63.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002225-40.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002308-56.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002597-86.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002605-63.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil pública nº 0002639-38.2013.8.13.0344 - TJ
AELTON FREITAS;PR;MG;Ação civil de improbidade administrativa nº 0002290-35.2013.8.13.0344 - TJ
BILAC PINTO;PR;MG;Inquérito nº 3792/2013 - STF
CARLOS MELLES;DEM;MG;Ação civil pública nº 1045136-53.2009.8.13.0647 - TJ
DELEGADO EDSON MOREIRA;PTN;MG;Inquérito nº 4087/2015 - STF
DELEGADO EDSON MOREIRA;PTN;MG;Inquérito nº 4016/2015 - STF
DIMAS FABIANO;PP;MG;Inquérito nº 4423/2017 - STF
DOMINGOS SÁVIO;PSDB;MG;Ação civil pública nº 0587783-73.2014.8.13.0024 - TJ
EDUARDO BARBOSA;PSDB;MG;Inquérito nº 3650/2013 - STF
LEONARDO MONTEIRO;PT;MG;Ação civil pública nº 1705777-71.2005.8.13.0105 - TJ
LEONARDO QUINTÃO;PMDB;MG;Ação civil nº 5034047-88.2009.8.13.0024 - TJ
LINCOLN PORTELA;PR;MG;Ação civil pública nº 25527-20.2009.4.01.3800 - TRF
LUIS TIBE;PT do B;MG;Ação civil pública nº 1811105-29.2011.8.13.0024 - TJ
LUIS TIBE;PT do B;MG;Ação civil pública nº 0400399-06.2010.8.13.0024 - TJ
LUIS TIBE;PT do B;MG;Inquérito nº 4153/2015 - STF
LUIS TIBE;PT do B;MG;Inquérito nº 3744/2013 - STF
LUIS TIBE;PT do B;MG;Inquérito nº 3500/2012 - STF
MARCOS MONTES;PSD;MG;Ação civil pública nº 2267280-86.2008.8.13.0701 - TJ
MARCOS MONTES;PSD;MG;Ação civil pública nº 0136490-92.2001.8.13.0701 - TJ
MARGARIDA SALOMÃO;PT;MG;Ação civil pública nº 0007668-17.2011.4.01.3801 - TRF
NEWTON CARDOSO JR;PMDB;MG;Ação penal nº 983/2016 - STF
NEWTON CARDOSO JR;PMDB;MG;Ação penal nº 987/2016 - STF - Nº 987/2016
NEWTON CARDOSO JR;PMDB;MG;Inquérito nº 3480/2012 - STF
ODELMO LEÃO;PP;MG;Ação civil pública nº 0890738-09.2011.8.13.0024 - TJ
PADRE JOÃO;PT;MG;Ação civil pública nº 0002866-37.2015.4.01.3800 - TRF
RAQUEL MUNIZ;PSC;MG;Inquérito nº 4212/2016 - STF
RAQUEL MUNIZ;PSC;MG;Ação civil de improbidade administrativa nº 0009290-74.2015.4.01.3807 - TRF
RAQUEL MUNIZ;PSC;MG;Ação civil de improbidade administrativa nº 0007306-26.2013.4.01.3807 - TRF
RAQUEL MUNIZ;PSC;MG;Ação civil de improbidade administrativa nº 0001259-31.2016.4.01.3807 - TRF
RAQUEL MUNIZ;PSC;MG;Ação civil pública nº 0131195-87.2010.8.13.0433 - TJ
TONINHO PINHEIRO;PP;MG;Inquérito nº 4209/2016 - STF
TONINHO PINHEIRO;PP;MG;Inquérito nº 4272/2016 - STF
BETO FARO;PT;PA;Inquérito nº 3889/2014 - STF
DELEGADO EDER MAURO;PSD;PA;Ação penal nº 967/2015 - STF
DELEGADO EDER MAURO;PSD;PA;Ação penal nº 967/2016 - STF
DELEGADO EDER MAURO;PSD;PA;Inquérito nº 4191/2015 - STF
EDMILSON RODRIGUES;PSOL;PA;Ação civil de improbidade administrativa nº 0011179-85.2009.4.01.3900 - TRF
EDMILSON RODRIGUES;PSOL;PA;Ação civil de improbidade administrativa nº 0017910-63.2010.4.01.3900 - TRF
EDMILSON RODRIGUES;PSOL;PA;Ação civil de improbidade administrativa nº 0022881-57.2011.4.01.3900 - TRF
EDMILSON RODRIGUES;PSOL;PA;Ação civil de improbidade administrativa nº 0025936-50.2010.4.01.3900 - TRF
EDMILSON RODRIGUES;PSOL;PA;Ação civil de improbidade administrativa nº 0261300-26.2016.8.14.0301 - TJ
HÉLIO LEITE;DEM;PA;Ação civil de improbidade administrativa nº 0004887-33.2013.4.01.3904 - TRF1
JOSUÉ BENGTSON;PTB;PA;Ação civil nº 3733-02.2007.4.01.3900 - TRF
SIMONE MORGADO;PMDB;PA;Ação civil pública nº 0032374-92.2011.8.14.0301 - TJ
AGUINALDO RIBEIRO;PP;PB;Inquérito nº 3989/2015 - STF
AGUINALDO RIBEIRO;PP;PB;Inquérito nº 3146/2011 - STF
BENJAMIN MARANHÃO;SD;PB;Ação penal nº 676/2012 - STF
BENJAMIN MARANHÃO;SD;PB;Recurso ordinário nº 1089/2006 - TSE
RÔMULO GOUVEIA;PSD;PB;Ação penal nº 952/2015 - STF
RÔMULO GOUVEIA;PSD;PB;Ação civil pública nº 0013283-59.2013.815.2001 - TJ
RÔMULO GOUVEIA;PSD;PB;Recurso especial eleitoral nº 76494/2011 - TSE
WELLINGTON ROBERTO;PR;PB;Ação civil pública nº 0014613-88.2013.4.01.3400 - TRF
ADALBERTO CAVALCANTI;PTB;PE;Ação civil pública nº 0000323-39.2010.8.17.0120 - TJ
ADALBERTO CAVALCANTI;PTB;PE;Ação penal nº 976/2016 - STF
BRUNO ARAÚJO;PSDB;PE;Inquérito nº 4.391 - STF
DANIEL COELHO;PSDB;PE;Ação civil pública nº 0003357-49.2014.8.17.0001 - TJ
EDUARDO DA FONTE;PP;PE;Inquérito nº 3989/2015 - STF
EDUARDO DA FONTE;PP;PE;Inquérito nº 3998/2015 - STF
EDUARDO DA FONTE;PP;PE;Inquérito nº 4118/2015 - STF
JOAO FERNANDO COUTINHO;PSB;PE;Ação civil pública nº 0003473-41.2016.8.17.2990 - TJ
KAIO MANIÇOBA;PHS;PE;Inquérito nº 4105/2015 - STF
LUCIANA SANTOS;PC do B;PE;Inquérito nº 3613/2013 - STF
LUCIANA SANTOS;PC do B;PE;Ação civil pública nº 0000685-21.2008.8.17.0990 - TJ
MARINALDO ROSENDO;PSB;PE;Inquérito nº 4262/2016 - STF
MARINALDO ROSENDO;PSB;PE;Inquérito nº 4288/2016 - STF
MARINALDO ROSENDO;PSB;PE;Inquérito nº 4289/2016 - STF
RICARDO TEOBALDO;PTB;PE;Inquérito nº 4251/2016 - STF
RICARDO TEOBALDO;PTB;PE;Ação civil pública nº 0000818-35.2015.8.17.0920 - TJ
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4257/2016 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4236/2016 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4044/2015 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4083/2015 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4094/2015 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4095/2015 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4082/2015 - STF
ZECA CAVALCANTI;PTB;PE;Inquérito nº 4240/2016 - STF
ZECA CAVALCANTI;PTB;PE;Ação civil pública nº 0004969-10.2015.8.17.0220 - TJ
ASSIS CARVALHO;PT;PI;Ação civil de improbidade administrativa nº 3125-58.2008.4.01.4000 - TRF
ASSIS CARVALHO;PT;PI;Inquérito nº 4238/2016 - STF
ASSIS CARVALHO;PT;PI;Inquérito nº 3103/2011 - STF
ASSIS CARVALHO;PT;PI;Inquérito nº 3175/2011 - STF
ATILA LIRA;PSB;PI;Ação civil de improbidade administrativa nº 0019533-56.2010.4.01.4000 - TRF
ATILA LIRA;PSB;PI;Ação civil de improbidade administrativa nº 0009618-70.2016.4.01.4000 - TRF
IRACEMA PORTELLA;PP;PI;Inquérito nº 3910/2014 - STF
IRACEMA PORTELLA;PP;PI;Ação civil pública nº 0005703-81.2014.4.01.4000 - TRF
JÚLIO CÉSAR;PSD;PI;Processos nº 0277494-58-2006.3.00.0000 - STJ
JÚLIO CÉSAR;PSD;PI;Ação civil pública nº 0038287-47.2003.4.01.3400 - TRF
ALEX CANZIANI;PTB;PR;Ação civil pública nº 0015575-20.2002.8.16.0014 - TJ
ALFREDO KAEFER;PSDB;PR;Ação penal nº 892/2014 - STF
ALFREDO KAEFER;PSDB;PR;Inquérito nº 4304/2016 - STF
ALFREDO KAEFER;PSDB;PR;Inquérito nº 4298/2016 - STF
DILCEU SPERAFICO;PP;PR;Inquérito nº 3989/2015 - STF
EDMAR ARRUDA;PSC;PR;Ação civil pública nº 0000039-81.2006.8.16.0190 - TJ
ENIO VERRI;PT;PR;Ação civil pública nº 0001828-91.2002.8.16.0017- - TJ
JOAO ARRUDA;PMDB;PR;Processos nº 2399573/2009 - TJ
LUCIANO DUCCI;PSB;PR;Processos nº 0002888-83.2011.8.16.0179 - TJ
LUIZ NISHIMORI;PR;PR;Inquérito nº 3508/2012 - STF
NELSON MEURER;PP;PR;Inquérito nº 3997/2015 - STF
NELSON MEURER;PP;PR;Inquérito nº 3989/2015 - STF
RUBENS BUENO;PPS;PR;Ação civil de improbidade administrativa nº 0003551-90.2015.8.16.0179- - TJ
SERGIO SOUZA;PMDB;PR;Ação civil pública nº 0021562-97.2013.8.16.0031 - TJ
TONINHO WANDSCHEER;PT;PR;Ação civil pública nº 0031183-74.2009.404.7000 - TRF
ZECA DIRCEU;PT;PR;Processos nº 2005.34.00.032406-4 - TRF
ZECA DIRCEU;PT;PR;Inquérito nº 4445/2017 - STF
ALEXANDRE SERFIOTIS;PSD;RJ;Ação civil de improbidade administrativa nº 0002668-95.2015.8.19.0071 - TJ
ALEXANDRE VALLE;PRP;RJ;Ação civil pública nº 0008594-04.2015.8.19.0024 - TJ
ALTINEU CORTES;PR;RJ;Ação civil de improbidade administrativa nº 0259225-13.2010.8.19.0001 - TJ
BENEDITA DA SILVA;PT;RJ;Ação civil de improbidade administrativa nº 0077777-34.2015.8.19.0001 - TJ
CABO DACIOLO;PSOL;RJ;Ação penal nº 927/2015 - STF
CABO DACIOLO;PSOL;RJ;Ação penal nº 0370596-64.2013.8.05.0001 - TJ
CELSO PANSERA;PMDB;RJ;Ação civil pública nº 0020570-51.2015.8.19.0042 - TJ
EZEQUIEL TEIXEIRA;SD;RJ;Ação civil de improbidade administrativa nº 0058763-30.2016.8.19.0001 - TJ
FERNANDO JORDÃO;PMDB;RJ;Ação penal nº 862/2013 - STF
HUGO LEAL;PROS;RJ;Ação civil de improbidade administrativa nº 0151342-94.2016.8.19.0001 - TJ
HUGO LEAL;PROS;RJ;Ação civil pública nº 0047886-36.2013.8.19.0001 - TJ
HUGO LEAL;PROS;RJ;Ação civil pública nº 0031251-14.2012.8.19.0001 - TJ
